Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_30_45_P07,4031978.5198099245,24.4770205479452,-862008.8478463067,0.42857142857142855,-16391.266942598766,4031978.5198099245,18356.57993886852,-2794.36097533817,-16019.11125894635,23192.976510968256,7528.912680151256,5,32037.14803144428,45,30,0.5642013395149678,583834.4279771692,-1625.4109221034637,36.5,678.6102430430441,6288000.0,236480.61245370648,3,0.6412179579850389,21968.3606050154,34.17716833592966,45.62,3043586.94981769,29.055848733976816,"[0.75, 12, 0.875, 12, 0.5, 34]",631.7688430626714,-0.13541329025115556,7.0,0.4882116018014127,0.6412179579850389,1.9949999999999974,6288000.0
TX_30_45_P08,4112538.210588035,26.461783439490446,-903015.5141156208,0.42857142857142855,-15856.79996221535,4112538.210588035,22347.266830861503,-2771.766392544127,-11561.919623289763,28428.334590686558,9284.447883492569,5,32347.864268948924,45,30,0.5754741886198446,626564.0911877343,-1536.6988409303672,39.25,794.2825834773372,6288000.0,295778.70710877556,3,0.6540296136431354,21820.402493722333,35.79120980624862,48.25,3045752.035591973,30.187535973098523,"[0.75, 12, 1, 12, 0.5, 36.5]",740.2812488828556,-0.11115008075747934,7.0,0.4979006261668791,0.6540296136431354,2.0,6288000.0
TX_30_45_R01,3741395.347322256,16.25,-698728.1045133466,0.42857142857142855,-23498.116078742103,3741395.347322256,7845.048253671195,-4850.953445137008,5346.150883181985,10406.923253170164,2460.0,5,32529.651732197777,45,30,0.5235395615931498,518087.21059888933,-1918.9483955617097,38.2,489.8154785500419,6288000.0,100934.47641637054,4,0.5950056213934886,29276.017905733966,21.24661981686833,29.25,2877613.350194992,17.682782200984487,"[18, 130]",443.65463333221527,-0.26594035974397046,7.0,0.4532627655877498,0.5950056213934886,3.25,6288000.0
TX_30_45_R02,3730395.4490359724,17.01,-710316.146072472,0.42857142857142855,-21552.321708425574,3730395.4490359724,7812.303901520412,-4259.774400927556,5949.721544543178,10041.956691434163,2670.0,5,32648.47061787895,45,30,0.5220003278603416,534492.4111543429,-1823.0249570536425,32.7,433.07064396609263,6288000.0,97589.89048931254,3,0.5932562737016496,26965.23471431744,23.18780280156879,31.51,2915319.3095868817,19.666028722126857,"[21, 111]",397.2486774989069,-0.2706545538405455,7.0,0.4519397927525262,0.5932562737016496,2.5100000000000016,6288000.0
TX_30_45_R03,3755037.2412372925,18.060000000000002,-743402.8794806788,0.42857142857142855,-20477.149251906107,3755037.2412372925,8600.656788068078,-3548.597685505646,8938.51391030876,10872.185392182106,3100.0,5,32717.3283019961,45,30,0.5254484940893347,560441.2787098112,-1804.3139514649943,30.6,429.45344997514536,6288000.0,105225.50443821387,3,0.5971751337845567,25793.508232917426,25.316330309632708,34.06,2937999.497007073,21.676322381317636,"[24, 104]",396.7765673886084,-0.25204271494007735,7.0,0.45490349485641035,0.5971751337845567,2.0600000000000023,6288000.0
TX_30_45_R04,3941017.3136475217,19.880000000000003,-860424.4180798033,0.42857142857142855,-21532.662590177286,3941017.3136475217,13490.737594800015,-2863.914258436529,-42338.63925477654,17437.26231196683,5660.0,5,32814.652244148,45,30,0.5514729893740686,608926.8070394347,-1580.3066743022837,43.1,646.1081527413563,6288000.0,182557.31249949924,3,0.6267521173103565,28384.23645996566,26.988147786067554,37.38,2990498.536868262,22.68940590485244,"[27, 146]",594.5831129899632,-0.16237098565859406,7.0,0.47727157293204675,0.6267521173103565,2.3800000000000026,6288000.0
TX_30_45_R05,4058632.715352615,21.439999999999998,-926653.8025895437,0.42857142857142855,-21237.919030802455,4058632.715352615,17947.95188323311,-2799.212736620726,-13537.956712252286,23342.732426097806,8230.0,5,32850.085100180935,45,30,0.5679311046302812,641912.6475794719,-1468.5271578414959,51.0,814.0232443254026,6288000.0,254792.82603902783,3,0.6454568567672734,28963.901110501603,28.67575660624089,40.44,3029418.1215930954,23.988214411706238,"[30, 173]",748.1987435661121,-0.12335980468473796,7.0,0.49141733841187646,0.6454568567672734,2.4399999999999977,6288000.0
TX_30_45_R06,3949413.2517038835,22.36,-907273.0644364316,0.42857142857142855,-18454.214286934446,3949413.2517038835,14582.276445015385,-2780.0609637546986,-28970.535911195904,18371.93462054925,5900.0,5,32780.30343685381,45,30,0.55264784669898,648279.6351427422,-1634.3649333973303,34.7,569.3927143677972,6288000.0,187023.59416563538,3,0.6280873491895489,24679.0544272356,32.26584070529916,42.86,3046745.036648859,27.654691844843274,"[33, 118]",527.298460848137,-0.15495565187310273,7.0,0.4782813639033539,0.6280873491895489,1.8599999999999994,6288000.0
TX_30_45_R07,4037041.9901818843,23.549999999999997,-965249.1712053838,0.42857142857142855,-18383.458318173012,4037041.9901818843,17939.93000671752,-2608.7513460094756,-11787.906784536674,22748.821931621093,7800.0,5,32824.64450607215,45,30,0.5649098791940405,652132.2235622766,-1552.32821998838,39.7,675.6375579210609,6288000.0,239865.37862999836,3,0.6420232172681114,25222.839482243962,33.670155936297114,45.55,3056048.3425132013,28.72317364621214,"[36, 135]",624.5803554887934,-0.12669069378471953,7.0,0.48882059231929925,0.6420232172681114,1.5499999999999972,6288000.0
TX_30_45_R08,4099278.7493498647,24.200000000000003,-995607.2973744358,0.42857142857142855,-18325.75845365701,4099278.7493498647,19953.24215615198,-2304.8583159606605,-6856.785262946986,25165.081168837147,9800.0,5,32873.37986846281,45,30,0.5736187705527425,695097.6959776701,-1509.534670638262,43.8,728.7910039117097,6288000.0,285181.94641946635,3,0.6519209206981337,25558.164839027668,34.52990093698495,48.2,3077243.9312260766,29.542963678947224,"[40, 149]",675.3974439731303,-0.1127543496388656,7.0,0.4963058926001447,0.6519209206981337,0.20000000000000284,6288000.0
