Model,span,width,Y,girders,girderspacing,numberofdiaphragms,haunch,numberofgirders,minendmoment,maxendmoment,maxmoment,maxZreaction,minZreaction,maxXreaction,minXreaction,mindeflection,Kg,df,df1,df2,LR1,LR2
TX_30_60_P06,60,30,45.62,"[0.75, 12, 0.875, 12, 0.5, 34]",7,4,1.995,5,-15484.33346,122083.0664,4065897.386,13521.11008,-2414.355295,2.91E-09,-2.64E-09,-0.302786103,236480.6125,0.59410973,0.441381073,0.59410973,0.428571429,0.522751276
TX_30_60_P07,60,30,48.25,"[0.75, 12, 1, 12, 0.5, 36.5]",7,4,2,5,-9445.691527,107486.2076,4083783.379,13586.80565,-2313.691708,2.69E-09,-3.00E-09,-0.248943353,295778.7071,0.605855481,0.450010476,0.605855481,0.428571429,0.533086246
TX_30_60_R01,60,30,31.62,"[21, 132]",7,4,2.62,5,-134.8762012,92254.56413,3803379.803,14019.63711,-2634.36079,4.01E-06,-2.03E-06,-0.533057028,94160.0958,0.548441479,0.407829387,0.548441479,0.428571429,0.482568233
TX_30_60_R02,60,30,34.25,"[24, 117]",7,4,2.25,5,-118.6717606,93006.1512,3870889.129,13949.06588,-2648.595046,1.05E-06,-8.22E-07,-0.513877472,94556.58193,0.548640457,0.407975573,0.548640457,0.428571429,0.482743312
TX_30_60_R03,60,30,37.25,"[27, 146]",7,4,2.25,5,-4133.44614,100660.3745,3956610.157,13852.75278,-2424.578981,1.78E-08,-2.35E-08,-0.375169976,138803.4952,0.56717512,0.421592674,0.56717512,0.428571429,0.499051778
TX_30_60_R04,60,30,40.75,"[30, 173]",7,4,2.75,5,-7299.092752,106363.291,4042787.671,13794.5382,-2237.476043,4.39E-07,-7.41E-07,-0.280840742,198891.02,0.585200797,0.434835832,0.585200797,0.428571429,0.514912394
TX_30_60_R05,60,30,43,"[33, 118]",7,4,2,5,-5494.099295,101472.0659,4013186.44,13713.39055,-2482.514059,5.63E-09,-1.23E-08,-0.349035491,142819.1041,0.568580787,0.422625393,0.568580787,0.428571429,0.500288611
TX_30_60_R06,60,30,45.62,"[36, 135]",7,4,1.62,5,-15367.41592,122896.0304,4078741.262,13578.36502,-2371.769905,1.29E-07,-1.99E-07,-0.292457307,179983.6227,0.580129711,0.431110192,0.580129711,0.428571429,0.510450395
TX_30_60_R07,60,30,48.25,"[40, 149]",7,4,0.25,5,-15688.22698,124078.6309,4122828.618,13571.12912,-2307.772538,5.21E-09,-3.90E-09,-0.261499034,209042.6387,0.587746971,0.436706462,0.587746971,0.428571429,0.517152747
TX_30_65_P01,65,30,32.38,"[1, 12, 1.625, 12, 0.5, 19.8]",7,4,1.955,5,-10970.42486,114553.9177,4193086.725,13710.77349,-2732.686033,1.06E-07,-2.69E-08,-0.599355974,148504.1719,0.558691963,0.412512051,0.558691963,0.428571429,0.491587532
TX_30_65_P02,65,30,34.5,"[0.875, 12, 1.125, 12, 0.5, 22.5]",7,4,2,5,-101.3785896,90365.04622,4170510.946,13865.05551,-2818.083626,2.39E-09,-3.20E-09,-0.6105359,134398.1669,0.553888425,0.409011259,0.553888425,0.428571429,0.487360947
TX_30_65_P03,65,30,37.25,"[0.75, 14, 1, 14, 0.5, 25.5]",7,4,2,5,-1479.702707,95125.14497,4225164.056,13760.93258,-2708.703319,2.84E-09,-3.00E-09,-0.50733269,168798.17,0.564927457,0.417056445,0.564927457,0.428571429,0.497074082
