Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_28_40_R08_LK5,4084381.6529154764,24.200000000000003,-662384.2884300505,0.5384792892581054,-10687.895384401734,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,36720.687151711994,40,28,0.690055111639199,407935.47631543747,-2462.0823077463842,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,16398.9209989964,35.601980852797915,48.2,2949462.990130663,29.40911399146812,"[40, 149]",673.8087024119781,-0.08337250064659912,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK6,4084381.6529154764,24.200000000000003,-904649.6775891235,0.5384792892581054,-14403.964897320822,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,37163.31088940811,40,28,0.690055111639199,549719.3232894376,-2472.007523716521,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,22398.489228184317,35.601980852797915,48.2,2929387.8975181147,29.40911399146812,"[40, 149]",673.8087024119781,-0.0826048032636098,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK7,4084381.6529154764,24.200000000000003,-1095075.2416458847,0.5384792892581054,-17176.135022416187,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,37517.94097111223,40,28,0.690055111639199,655489.4002164128,-2436.2285498808506,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,27114.25991731715,35.601980852797915,48.2,2917710.401110412,29.40911399146812,"[40, 149]",673.8087024119781,-0.08215885220778937,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK8,4084381.6529154764,24.200000000000003,-1215671.9409070408,0.5384792892581054,-18861.126264518607,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,37745.238984196214,40,28,0.690055111639199,719778.9820732484,-2401.1000849177267,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,30100.756827722085,35.601980852797915,48.2,2911555.6123814764,29.40911399146812,"[40, 149]",673.8087024119781,-0.08192448375861687,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK9,4084381.6529154764,24.200000000000003,-1281748.2975386842,0.5384792892581054,-19760.96029133962,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,37870.614358290564,40,28,0.690055111639199,754111.4776329951,-2378.77870650025,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,31737.092103751882,35.601980852797915,48.2,2908503.421575212,29.40911399146812,"[40, 149]",673.8087024119781,-0.08180855491058077,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_30_100_R02_LK0,9993421.262318889,24.490000000000002,-112941.70223810853,0.42857142857142855,-2996.6562950122056,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,31024.41485060903,100,30,0.48398902095332064,107376.25235827557,-3344.9903322304094,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,3150.7326674534256,31.942029244229673,46.49,6593000.992362232,26.643077886873876,"[36, 231]",1110.2434368946049,-0.7529432436968645,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK1,9993421.262318889,24.490000000000002,-231505.26369929628,0.42857142857142855,-6135.105710791972,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,31055.178293410147,100,30,0.48398902095332064,219797.10712468685,-3590.502283177177,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,6460.636045252697,31.942029244229673,46.49,6547653.098544287,26.643077886873876,"[36, 231]",1110.2434368946049,-0.7461127394299363,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK2,9993421.262318889,24.490000000000002,-451806.79345715756,0.42857142857142855,-11937.427694125292,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,31118.23029260043,100,30,0.48398902095332064,427639.17349668883,-4043.792162943045,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,12610.723921874278,31.942029244229673,46.49,6463658.655743136,26.643077886873876,"[36, 231]",1110.2434368946049,-0.7334548659068657,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK3,9993421.262318889,24.490000000000002,-809827.5449679302,0.42857142857142855,-21269.884639207576,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,31240.877316050115,100,30,0.48398902095332064,761932.241439918,-4770.8576993746465,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,22605.462618146295,31.942029244229673,46.49,6328045.684146707,26.643077886873876,"[36, 231]",1110.2434368946049,-0.7129972217137602,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK4,9993421.262318889,24.490000000000002,-1282793.8180384324,0.42857142857142855,-33351.18685908569,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,31457.329551585986,100,30,0.48398902095332064,1194689.786841437,-5707.067999883295,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,35809.06074128638,31.942029244229673,46.49,6151184.242686004,26.643077886873876,"[36, 231]",1110.2434368946049,-0.6864342724565388,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK5,9993421.262318889,24.490000000000002,-1764130.5242552115,0.42857142857142855,-45215.84582011228,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,31782.58226301566,100,30,0.48398902095332064,1619686.3025174153,-6618.067649627555,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,49246.270310583925,31.942029244229673,46.49,5975256.726124392,26.643077886873876,"[36, 231]",1110.2434368946049,-0.659924056977235,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK6,9993421.262318889,24.490000000000002,-2142046.7767728544,0.42857142857142855,-54061.192732476,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,32172.71613879274,100,30,0.48398902095332064,1936529.1723552933,-7288.50048430071,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,59796.27477649902,31.942029244229673,46.49,5841702.3133137245,26.643077886873876,"[36, 231]",1110.2434368946049,-0.6396927413070469,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK7,9993421.262318889,24.490000000000002,-2383221.8268314824,0.42857142857142855,-59390.12273843449,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,32533.453838116046,100,30,0.48398902095332064,2127412.536289849,-7686.903870486229,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,66528.9228964001,31.942029244229673,46.49,5759667.256837404,26.643077886873876,"[36, 231]",1110.2434368946049,-0.6272050053320678,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK8,9993421.262318889,24.490000000000002,-2516955.8000074537,0.42857142857142855,-62206.40383638435,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,32794.43707964535,100,30,0.48398902095332064,2228292.138953186,-7895.197274607186,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,70262.21684219984,31.942029244229673,46.49,5715638.37738816,26.643077886873876,"[36, 231]",1110.2434368946049,-0.6205104034203744,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
TX_30_100_R02_LK9,9993421.262318889,24.490000000000002,-2585078.0344297546,0.42857142857142855,-63596.39450567762,9993421.262318889,29580.302362573497,-3000.9674443082413,-8485.740680347135,38677.757862072845,15600.0,5,32950.748649766174,100,30,0.48398902095332064,2278081.7643011264,-7997.3144675936055,68.1,1210.8735348759967,18168000.0,454054.86709667137,5,0.550056212148772,72163.89578023231,31.942029244229673,46.49,5693695.890825993,26.643077886873876,"[36, 231]",1110.2434368946049,-0.617162551244443,7.0,0.39156078036563013,0.550056212148772,2.490000000000002,18168000.0
