Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,ybar1,girders,Sb1,I,girderspacing,df1,df2,haunch,TandemMoment
TX_24_45_R01_LK4,3865364.489544093,16.25,-172458.92908097804,0.4545429751953418,-6382.173011205941,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,32456.67627355222,45,24,0.5408867661371312,142397.5918231955,-1704.711140584433,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,7131.552123173968,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK5,3865364.489544093,16.25,-291573.9463003346,0.4545429751953418,-10522.555996910189,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,32848.52341996187,45,24,0.5408867661371312,234720.47810813042,-1705.2828389209744,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,12059.53864622326,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK6,3865364.489544093,16.25,-430282.41588478285,0.4545429751953418,-15056.298121622121,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,33317.08825858954,45,24,0.5408867661371312,335814.5459927414,-1705.7443473970861,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,17798.109707925443,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK7,3865364.489544093,16.25,-553506.3575116931,0.4545429751953418,-18820.07191429765,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,33744.59102839335,45,24,0.5408867661371312,419739.7435078528,-1705.9670368512661,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,22896.036556823405,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK8,3865364.489544093,16.25,-639188.0966134361,0.4545429751953418,-21290.40746517546,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,34048.10233161488,45,24,0.5408867661371312,474823.65940084,-1706.0177122471878,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,26440.781168492314,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK9,3865364.489544093,16.25,-689006.3138822962,0.4545429751953418,-22671.699180453088,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,34226.919920076005,45,24,0.5408867661371312,505623.9110674719,-1706.008102742228,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,28501.808178908585,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_50_P01_LK0,4638616.258247134,23.866197183098592,-9620.705081193548,0.4545429751953418,-391.11215728505374,4638616.258247134,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,31787.75989543963,50,24,0.5539457884374487,8474.46685213599,-1844.8299454595867,35.5,466.98906549167503,7368000.0,182010.73156637722,4,0.6295624671888076,411.4614871789198,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.473044625464988,0.6295624671888076,2.0,7368000.0
TX_24_50_P01_LK1,4638616.258247134,23.866197183098592,-20331.186273331816,0.4545429751953418,-826.048377188247,4638616.258247134,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,31821.55245364816,50,24,0.5539457884374487,17859.97678302825,-1844.8195541862335,35.5,466.98906549167503,7368000.0,182010.73156637722,4,0.6295624671888076,870.7754845800323,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.473044625464988,0.6295624671888076,2.0,7368000.0
TX_24_50_P01_LK2,4638616.258247134,23.866197183098592,-42175.71700710576,0.4545429751953418,-1707.5222754553172,4638616.258247134,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,31888.24630301134,50,24,0.5539457884374487,36881.689938832686,-1844.274558593024,35.5,466.98906549167503,7368000.0,182010.73156637722,4,0.6295624671888076,1807.5535881441542,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.473044625464988,0.6295624671888076,2.0,7368000.0
TX_24_50_P01_LK3,4638616.258247134,23.866197183098592,-84180.05958212797,0.4545429751953418,-3382.0025793243617,4638616.258247134,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,32024.63366259581,50,24,0.5539457884374487,73015.03733966567,-1844.749788214446,35.5,466.98906549167503,7368000.0,182010.73156637722,4,0.6295624671888076,3608.90394320651,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.473044625464988,0.6295624671888076,2.0,7368000.0
